HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,PassengerGroup,PassengerGroupNumber,Deck,Num,Side
Europa,False,TRAPPIST,39.0,False,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False,1,1,B,0.0,P
Earth,False,TRAPPIST,24.0,False,109.0,9.0,25.0,549.0,44.0,Juanna Vines,True,2,1,F,0.0,S
Europa,False,TRAPPIST,58.0,True,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,False,3,1,A,0.0,S
Europa,False,TRAPPIST,33.0,False,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,False,3,2,A,0.0,S
Earth,False,TRAPPIST,16.0,False,303.0,70.0,151.0,565.0,2.0,Willy Santantines,True,4,1,F,1.0,S
Earth,False,PSO,44.0,False,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,True,5,1,F,0.0,P
Earth,False,TRAPPIST,26.0,False,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,True,6,1,F,2.0,S
Earth,True,TRAPPIST,28.0,False,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,True,6,2,G,0.0,S
Earth,False,TRAPPIST,35.0,False,0.0,785.0,17.0,216.0,0.0,Andona Beston,True,7,1,F,3.0,S
Europa,True,CANCRI,14.0,False,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,8,1,B,1.0,P
Europa,True,TRAPPIST,34.0,False,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,True,8,2,B,1.0,P
Europa,False,CANCRI,45.0,False,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,True,8,3,B,1.0,P
Mars,False,TRAPPIST,32.0,False,73.0,0.0,1123.0,0.0,113.0,Berers Barne,True,9,1,F,1.0,P
Earth,False,TRAPPIST,48.0,False,719.0,1.0,65.0,0.0,24.0,Reney Baketton,False,10,1,G,1.0,S
Earth,False,TRAPPIST,28.0,False,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,True,11,1,F,2.0,P
Mars,False,CANCRI,27.0,False,1286.0,122.0,0.0,0.0,0.0,Flats Eccle,False,14,1,F,3.0,P
Earth,False,CANCRI,24.0,False,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,False,15,1,F,4.0,P
Mars,True,TRAPPIST,45.0,False,0.0,0.0,0.0,0.0,0.0,Alus Upead,True,16,1,F,5.0,P
Earth,False,TRAPPIST,0.0,False,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,True,17,1,G,0.0,P
Earth,False,CANCRI,14.0,False,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,False,17,2,F,6.0,P
Earth,True,TRAPPIST,1.0,False,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,False,20,1,E,0.0,S
Earth,True,CANCRI,49.0,False,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,False,20,2,E,0.0,S
Earth,True,CANCRI,29.0,False,0.0,0.0,0.0,0.0,0.0,Mollen Mcfaddennon,False,20,3,E,0.0,S
